name,token_address,meta_data_img,full_img,rank_est,market_place_state.block_timestamp,date,market_place_state.escrow_address,market_place_state.signature,market_place_state.seller_address,market_place_state.buyer_address,market_place_state.type,market_place_state.marketplace_program_id,market_place_state.marketplace_instance_id,market_place_state.fee,market_place_state.amount,market_place_state.seller_referral_fee,market_place_state.seller_referral_address,market_place_state.buyer_referral_address,market_place_state.buyer_referral_fee,market_place_state.metadata,market_place_state.price
Solana Puppy Pound #1279,Cp2yQw4rN8rVjH7N96eVfAALSEodTG2Y7yvY9286ZB22,https://www.arweave.net/pc8BM_OUoNYvhw35-b9tB4TglhVskhdH3E4NYI4lf44?ext=png,https://storage.googleapis.com/feliz-nft-meta/images/Cp2yQw4rN8rVjH7N96eVfAALSEodTG2Y7yvY9286ZB22,8966,"2/27/2022, 1:16:22 PM",2/27/2022,6gBEvjuwCJ7gPyRixh1ZcVnwLhBZcCC8e2EtMatw8Y3C,49LwzMxEmjG12qktzRyuWz4sgL5XcXFcYqdcEQ1NgyjGerwU5orsY41kR5TKUWMQcisQDcFM3pHVYQNEqdMuvUvo,9WMHbunfB3NbyfLX4SMDM881R2xw2sZ9B5RQWkJcYNBV,6hFPYwBFevUeM9tZRukXb1EuoRVV4DgaNZxq7YBN9dQy,TRANSACTION,M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,0.0158,1,0,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,0,{},0.79
Solana Puppy Pound #3415,DUAJ17C3qJPVKH8FAkrQ4spm3pwPLobjYJRgacAGcC81,https://www.arweave.net/tOX6ygPqGfdh1G5DaaJtGeQhQltnxZCyYRzFyYx0wEw?ext=png,https://storage.googleapis.com/feliz-nft-meta/images/DUAJ17C3qJPVKH8FAkrQ4spm3pwPLobjYJRgacAGcC81,9660,"2/27/2022, 1:17:54 PM",2/27/2022,D3tZikUMCMnSgQ9w7vgbXbT6vA7w7Ka5h3PPfMwnxnHR,2rRBFcF3rWH5Z7tyBNB3W3eQbdNN9To7gpAPuwxihWi8LCqByL1CCVJYudCqTTTq4m89iXNWo69gDszkGQtoXd6d,9WMHbunfB3NbyfLX4SMDM881R2xw2sZ9B5RQWkJcYNBV,2gnBqY8Unp1NQXER6Y9Bt56423muUNZSA7fqZBrczKmi,TRANSACTION,M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,0.0158,1,0,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,0,{},0.79
Solana Puppy Pound #5021,Eae4idb2mpPfhjEoDoc5r7UtUdMmgXtCMakefzY6k2eE,https://www.arweave.net/bFE_sjmW93AGVO1r25Ci4awL295P9S683LgOYN8ZVfI?ext=png,https://storage.googleapis.com/feliz-nft-meta/images/Eae4idb2mpPfhjEoDoc5r7UtUdMmgXtCMakefzY6k2eE,6593,"2/27/2022, 1:27:00 PM",2/27/2022,CWMnMPxeikJTArYM6xDqbgfP1Pky8sdbJZjMG9r7gSVT,5aBC1QLCejcbutRTD3z8nM2e1ToRyw7USCt1MuEEsKdVC8yb53MwafFdHAVNouFJjPgJXrypcT4d1xm56vJ7m7xM,9WMHbunfB3NbyfLX4SMDM881R2xw2sZ9B5RQWkJcYNBV,DirE179WhA8ZAiRqBgjyyLc2sugyEyMZPGSKvGN4vo21,TRANSACTION,M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,0.0162,1,0,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,0,{},0.81
Solana Puppy Pound #6859,5RHFu7oU6pkgevQjW3ZvfpyyV2CN1yzB7ZxMRisEEFCY,https://www.arweave.net/r5hrHq0MfIn-lKp2PO86Q8kxhXKTXWztwvuORfGVuNY?ext=png,https://storage.googleapis.com/feliz-nft-meta/images/5RHFu7oU6pkgevQjW3ZvfpyyV2CN1yzB7ZxMRisEEFCY,7585,"2/27/2022, 1:31:35 PM",2/27/2022,FFyxBEcKjTUk15jGD7A1EiH2G23GMu4dQejtqC7HK8pj,3afU9bP2Ctrt1cuaS8PEytGq83CG6E2gXUExnPgvAoUjB2czNtqAJzb3JHCvq9CvEaTQ6j53mgBwxg4wzBK12pcJ,9WMHbunfB3NbyfLX4SMDM881R2xw2sZ9B5RQWkJcYNBV,FcLFZxTfds2uxH6HdQKyjSgx246PFJm4L2g6sJJYbrrq,TRANSACTION,M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,0.0162,1,0,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,0,{},0.81
Solana Puppy Pound #9772,6W86nYWbFoepZJWX6YL6vqeP7VGJZKpJ87gz8PqJtK19,https://www.arweave.net/Gx70-N0B1k8GEb3FBBMjrJHPtT9HfiXzWsw0jgbsWL0?ext=png,https://storage.googleapis.com/feliz-nft-meta/images/6W86nYWbFoepZJWX6YL6vqeP7VGJZKpJ87gz8PqJtK19,6741,"2/27/2022, 1:37:43 PM",2/27/2022,GjRDra1opETFG1GcK5VkDnsFvQLf87wqjNoYQ6bCQArg,5wUto358QH1aqcwuEq1BPrADBAUWEs8fhLv2YAi49HRMGqNMK4MKwnp643FfwyUuZfe7nkeAUyFo2Ubbv4vo7MEJ,9WMHbunfB3NbyfLX4SMDM881R2xw2sZ9B5RQWkJcYNBV,3BwYP3Vz7NeZJ6bebQ8NDhwoQ5nMVuJGKAiNJgU5Rrjr,TRANSACTION,M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,0.0166,1,0,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,0,{},0.83
Solana Puppy Pound #672,BWqY1BAVQVNUFqMvWnLeKLMcBrtBCTAjUAoaX471eBWb,https://www.arweave.net/bg-9VbogKts8cgMnjOKSF2VfrePIGwhzSCwzCD_GJg0?ext=png,https://storage.googleapis.com/feliz-nft-meta/images/BWqY1BAVQVNUFqMvWnLeKLMcBrtBCTAjUAoaX471eBWb,9334,"2/27/2022, 1:50:59 PM",2/27/2022,27CfTQq3LEXa76UY9bUxJ91PDcVWm1tsZd1kmvnMubBi,cutFYkzVYm85o2cM9w9pvPQftMoCKFnqwLawNKiCRFpw4HQVNEhBTKHmugdNQf84AX61nGSXns5186TLpbwnSWD,9WMHbunfB3NbyfLX4SMDM881R2xw2sZ9B5RQWkJcYNBV,C2FEKF4y4MPGueNup4gLfSseiRSydkGEqJHZ7Wte6mCS,TRANSACTION,M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,0.0168,1,0,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,0,{},0.84
Solana Puppy Pound #5757,9kbhSHN3F6zE7a6UQKZk7JSwCZfEmZpfRDCNuucWtEo2,https://www.arweave.net/05KAJo78v8xnZe6-AMJQc-b84NtoEFEs62YkITV5tvg?ext=png,https://storage.googleapis.com/feliz-nft-meta/images/9kbhSHN3F6zE7a6UQKZk7JSwCZfEmZpfRDCNuucWtEo2,6338,"2/27/2022, 1:55:23 PM",2/27/2022,3ZJ9YtyqnvjAHkQtzi2fYoyCgm8WPQeZ3BUvqN2auRXS,2tskQG9DAKupieuNUGw4JguJMyGS6HuXYymw4pusg1YX4Xio15UiBGMcgnCq8pvZHubDyj2uSj3ZdhVd3ebNCDDR,9WMHbunfB3NbyfLX4SMDM881R2xw2sZ9B5RQWkJcYNBV,MR6LNN1rYJWhp2is7rdKDpLseRJrQrRymYKQqSnD3Rg,TRANSACTION,M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,0.0176,1,0,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,0,{},0.88
Solana Puppy Pound #4735,3XHNovYqToNd1vkYtrH4fhJeh8Lag27w4CRZdSx2zyuA,https://www.arweave.net/yroCUhQNYaan96pcmLKhV5IiX2LuY1t2kpdHa0yQDAg?ext=png,https://storage.googleapis.com/feliz-nft-meta/images/3XHNovYqToNd1vkYtrH4fhJeh8Lag27w4CRZdSx2zyuA,6135,"2/27/2022, 1:57:06 PM",2/27/2022,9ppboQiWtU6yTcw9H5eNBuHvdvxLdfqrC6xYAjTjDesZ,537ETdGcFPZTRWyNmc4L1nzfCoTR9FtMQCGapAtKaBjWLXVFw5jZ6AG4HafVj8wTxVW87m1t4TMMX74b4FktW22K,9WMHbunfB3NbyfLX4SMDM881R2xw2sZ9B5RQWkJcYNBV,4ZGdY8VMkJq4f9PN82pQdMr6QnYk8qPsU5tchjPMN1HY,TRANSACTION,M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,0.0178,1,0,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,0,{},0.89
Solana Puppy Pound #4988,Ci57ocBqXyWrC3XcTamKW8aFfjAPtBbVCmf7umXJimm1,https://www.arweave.net/fJdKDPHT3Og3L5qE8uBil5icpldQYeu9D3v6cCk8M3E?ext=png,https://storage.googleapis.com/feliz-nft-meta/images/Ci57ocBqXyWrC3XcTamKW8aFfjAPtBbVCmf7umXJimm1,9517,"2/27/2022, 1:57:47 PM",2/27/2022,6eqJfPZayznW5nVs3SWJ8wBCPtQqGRhQcDgLio3Un1Mh,97yFaynP79JWWhNfGwCQeokABmFgcYwSg9E5C88x9cvJJ5Q9XuBiCH8E6Xd63gz4aBbLyG7xWXKa8r9798wFhsh,9WMHbunfB3NbyfLX4SMDM881R2xw2sZ9B5RQWkJcYNBV,AhLpfrGMFUGcvbTMB1FCBhve3jLebxCMoJRbe34GWEPq,TRANSACTION,M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,0.018,1,0,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,0,{},0.9
Solana Puppy Pound #3690,DrLVhnMsMuMwKUMosDWmXKQVNjncwvWsHdU8NYNShkuj,https://www.arweave.net/L3KfAmz40m5ycushlkKq4X802jRRQ2qpDs8FFUZdZco?ext=png,https://storage.googleapis.com/feliz-nft-meta/images/DrLVhnMsMuMwKUMosDWmXKQVNjncwvWsHdU8NYNShkuj,9576,"2/27/2022, 1:57:48 PM",2/27/2022,Fr8iyBdNiMUdYNtrwo5XnVoxembGVPXBMmswoZVxNTuE,5b9wokEkoeeLz9jZdbvho33CHH5hFketnhpumSGrFPJ5SyHDemBVBfJDt3ztMWFFtxTxpScbfuR8DEE985mc1WyN,9WMHbunfB3NbyfLX4SMDM881R2xw2sZ9B5RQWkJcYNBV,AhekgaNqTjsqqhX7Q5okdzxQwWzRx7RBEwV7eh8SbhRZ,TRANSACTION,M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,0.018,1,0,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,0,{},0.9
